PMC Public Health Emergency collection,number of papers (2020-06-10),CC license,CC-BY,open government license,custom license (perpetual access via PMC),custom license (temporary access),custom license (other),unknown
AAAS,162,155,155,-,-,-,6,1
American College of Physicians,245,-,-,-,245,-,-,-
ACS,577,48,29,-,-,501,24,4
AOSIS,47,47,47,-,-,-,-,-
ASME,22,-,-,-,22,-,-,-
BMJ,1410,976,162,-,-,421,-,13
Cambridge University Press,1773,1518,1508,-,245,3,-,7
Elsevier,63900,3229,678,-,44,59402,22,1203
IEEE,79,67,67,-,-,-,-,12
IOP,42,-,-,-,-,42,-,-
JMIR,6,6,6,-,-,-,-,-
Karger,457,63,4,-,347,-,-,47
NEJM,365,-,-,-,311,-,-,54
Oxford University Press,9202,2449,691,134,3681,115,2676,147
Radiological Society,205,1,1,-,198,-,-,6
Sage,710,702,524,-,1,-,-,7
Springer Nature,55597,14971,14501,1,-,38516,12,2097
Taylor & Francis,725,66,33,-,609,-,1,49
Thieme,357,57,2,-,298,-,-,2
University of Toronto Press,11,-,-,-,11,-,-,-
Wiley,13936,1705,926,-,171,11528,124,408
Wolters Kluwer,1688,294,62,5,1373,-,1,15
