PMC Public Health Emergency collection,number of papers (2020-06-10),CC license,CC-BY,open government license,custom license (perpetual access via PMC),custom license (temporary access),custom license (other),unknown
AAAS,75,72,72,-,-,-,2,1
American College of Physicians,175,-,-,-,175,-,-,-
ACS,359,-,-,-,-,359,-,-
AOSIS,41,41,41,-,-,-,-,-
ASME,22,-,-,-,22,-,-,-
BMJ,655,437,61,-,-,218,-,-
Cambridge University Press,1157,1032,1028,-,120,-,-,5
Elsevier,49624,7,1,-,5,48821,1,790
IEEE,44,37,37,-,-,-,-,7
IOP,42,-,-,-,-,42,-,-
Karger,268,39,2,-,227,-,-,2
Oxford University Press,5599,1152,323,113,1583,118,2564,69
Radiological Society,154,1,1,-,153,-,-,-
Sage,483,481,355,-,1,-,-,1
Springer Nature,36134,8617,8330,1,-,27494,5,17
Taylor & Francis,465,40,23,-,402,-,1,22
Thieme,289,55,2,-,234,-,-,-
Wiley,11498,1111,634,-,-,10254,122,11
Wolters Kluwer,1249,168,29,5,1075,-,1,-
