PMC Public Health Emergency collection,number of papers (2020-06-10),CC license,CC-BY,open government license,custom license (perpetual access via PMC),custom license (temporary access),custom license (other),unknown
AAAS,27,26,26,-,-,-,-,1
ACS,91,-,-,-,-,91,-,-
AIP,23,18,18,-,-,-,1,4
ASME,22,-,-,-,22,-,-,-
BMJ,117,107,11,-,-,10,-,-
Cambridge University Press,341,294,293,-,44,-,-,3
Elsevier,29642,7,1,-,5,29285,1,344
IEEE,31,31,31,-,-,-,-,-
IOP,36,-,-,-,-,36,-,-
Karger,71,6,-,-,65,-,-,-
Oxford University Press,2669,522,109,28,1226,118,707,68
Radiological Society,78,1,1,-,77,-,-,-
Sage,119,119,76,-,-,-,-,-
Springer Nature,19698,3618,3470,-,-,16060,3,17
Taylor & Francis,224,32,19,-,191,-,1,-
Thieme,48,1,-,-,47,-,-,-
Wiley,6430,471,256,-,-,5908,40,11
Wolters Kluwer,541,71,17,1,469,-,-,-
